时间: 2019-03-30_11:24:08
点赞数       贡献者                                公司名称
 3         SheldonFei               上海拜聚                
 3         li844327426              觅上（北京）科技有限公司        
 3         YouWillNeverChange       北京储易智慧科技有限公司        
 3         minluoxu                 茄子快传                
 3         mccree2                  杭州微一案               
 3         yinhutjfox               gishere 云南这里信息技术有限公司  我们一起在公司迎接朝阳 一起相依为命
 3         yh673025667              Momenta             
 3         yamideh                  重复了 此行移除            
 2         littlq                   海马玩                 
 2         Ryuchen                  北京金睛云华科技有限公司        
 2         zjie-zhang               马蜂窝                 
 2         JackPaul                 海底捞                 
 2         lzbah                    焦点教育                
 2         pencil2014               云来科技                
 2         bossadmin                广州 臭名昭著的外包(强制996,只有周末加班才算,平时的加班没有任何补休)
 2         dfbUsbc2578              浙江盛和网络科技有限公司        
 2         qwelcr2010               贝壳                  
 2         TencentPonyMa            网易游戏事业部             
 2         SoftwareTesterWu         网易考拉                
 2         yangweimin888            南京掌控网络科技有限公司        
 2         developNote              上海益民食品厂             
 2         clunique                 启迪国信                
 2         Lanfice                  4399                
 2         weizengreal              好未来                 
 2         huaziHear                去哪儿网                
 2         developNote              膜法世家                
 2         haoyutc                  顺丰                  
 2         mada365                  中广热点云               
 2         kanecolin                汽车之家                
 2         retindErCn               万兴科技                
 2         ElviraZ                  成都天上友嘉              
 2         244860210                京东到家                
 2         LittleFlames             品创时代                
 2         hongjiasen               jiangsuhx           
 2         Ryuchen                  北京金睛云华科技有限公司        
 2         weizengreal              好未来                 
 2         TencentPonyMa            网易游戏事业部             
 2         ziven123                 迅实芯                 
 2         yuyangalan               众泰汽车皮尺部             
 2         qwelcr2010               贝壳                  
 2         clunique                 启迪国信                
 2         yangweimin888            南京掌控网络科技有限公司        
 2         bubble93                 中软国际                
 2         zjie-zhang               马蜂窝                 
 2         a939927870               深圳道通科技有限公司          
 2         shanrain                 合力亿捷                
 2         MrLeihe                  北京诵读文化发展有限公司        
 2         Liiijabn                 大疆                  
 2         blackkey1                上海闻泰                
 2         haoyutc                  顺丰                  
 2         xmstu                    团贷网                 
 2         bossadmin                广州 臭名昭著的外包(强制996,只有周末加班才算,平时的加班没有任何补休)
 2         Lanfice                  4399                
 2         developNote              上海益民食品厂             
 2         whgm90                   车主邦                 
 2         retindErCn               万兴科技                
 2         a383948039               深圳奥哲网络科技有限公司        
 2         Lanfice                  4399                
 2         MrLeihe                  北京诵读文化发展有限公司        
 2         Liiijabn                 大疆                  
 2         ElviraZ                  成都天上友嘉              
 2         zjie-zhang               马蜂窝                 
 1         littlq                   北京海誉动想科技股份有限公司      
 1         lipengtom                格事化                 
 1         NickZhangAlong           群硕软件                
 1         Edwardmark               有云科技 小马哥 早9晚10 996 钱少事多 洗脑 千万别来
 1         zoumin1516               众安国际                
 1         yutiya                   重庆嗨走科技有限公司          
 1         QiangDongxiao            志杰                  
 1         su9257                   上海火魂                
 1         l1212xiao                一点                  
 1         sorrymeto                浙江蚁加科技              
 1         gilbertguan2385          平安科技（深圳）            
 1         924950698                高思教育                
 1         HRC0401                  瑞祥装饰                
 1         azlanac                  涂游游戏                
 1         cofylxiaojue             pu蓝科技               
 1         panyuchao                慧安金科                
 1         marchonh                 浪潮                  
 1         kebikekj                 姿美堂                 
 1         no996no                  中原银行                
 1         CodeZLei                 乐融集团(原乐视le)         
 1         liuxiaoshuai             山东国子软件股份有限公司        
 1         warnstar                 北京积沙成塔              
 1         kongwang                 众安                  
 1         fandongbo                北京百乘集团              
 1         ziyudiexin               擎盾科技                
 1         Firef0x                  中软国际                
 1         LinXueyuanStdio          上海 汉得 物联网与云事业部      
 1         FuckU996                 360大数据              
 1         lipengtom                武汉格事化信息技术有限公司       
 1         CivilPro                 稻禾信息科技              
 1         Nedoloroso               天喻教育                
 1         vuchan                   重庆霏微                
 1         scorscor                 鲜果多                 
 1         AlexYIN                  海信聚好看               
 1         wangjianlin996icu        东方头条  经常加班到十点以后 周六日加班看老板心情
 1         fengshenyuan             第一弹 —— 上海           
 1         jiashuaizhang            东华                  
 1         JackeyZ                  阡陌游戏                
 1         guitaristCat             北京渔塘软件科技有限公司        
 1         magicLaLa                杭州高街科技              
 1         billijoe                 北京信息科技大学-智能信息处理研究所  
 1         JackeyZ                  阡陌游戏                
 1         NotoriousKnight          微信                  
 1         fengsy868                搜狗                  
 1         FantasyZhou              第七大道                
 1         TencentPonyMa            腾讯互娱                
 1         ananas-xxj               灵游互娱                
 1         winter008                成都西米互动科技有限公司        
 1         yutiya                   重庆嗨走科技有限公司          
 1         lei32323                 上海理想                
 1         LinXueyuanStdio          上海 汉得 物联网与云事业部      
 1         Duan-fei                 香侬科技                
 1         magicLaLa                杭州高街科技              
 1         Quekie                   广州市圣湘琳信息科技有限责任公司    
 1         LiangHaoXiang            广州百游科技有限公司          
 1         DaFeng2016               北京思源企通集团            
 1         kongwang                 众安                  
 1         zpczzf                   蓝鸽集团                
 1         songjiayu                网联清算                
 1         happywxs                 盘石网盟                
 1         BetaLi                   博智林机器人              
 1         littlq                   北京海誉动想科技股份有限公司      
 1         NickZhangAlong           群硕软件                
 1         liuxiaoshuai             山东国子软件股份有限公司        
 1         leizhen10000             点我达                 
 1         liudongsir               日本关东金现代             
 1         lcylichenyi              上海思满软件科技            
 1         lk112133                 澜极智谷科技              
 1         Git2Frank                360路由10127          
 1         KaneTing                 OYO(China)          
 1         Axighi                   深圳追一科技有限公司          
 1         zhaozhiming              tap4fun(tik实验室)     
 1         alonecarr                南京坦道信息科技有限公司        
 1         suncong1024              汉雅星空文化科技有限公司        
 1         CodeZLei                 乐融集团(原乐视le)         
 1         18840851520              南京杰迈视讯              
 1         plklm                    运满满                 
 1         yehaia1                  近铁国际物流（深圳） ISD部门    
 1         makelage                 华为NCE  [906,907]    
 1         cdxzuid                  成都柠檬云（kucoin）       
 1         l1212xiao                一点                  
 1         miccuci                  长沙中融汇智              
 1         macoscoder               上海巨人网络              
 1         voidmethod               正和岛                 
 1         sunKit-io                爱换机                 
 1         dice-HS                  美亚柏科                
 1         roryone                  重庆紫光华智              
 1         csc-EricWu               武汉威泰科技              
 1         xuxuekai                 Tokeninsight        
 1         godjiuxutian             江苏慧物数据科技有限公司        
 1         ymw520369                路索亚网络               
 1         Duan-fei                 香侬科技                
 1         broscar                  深圳领格网络              
 1         18840851520              南京杰迈视讯              
 1         lcylichenyi              上海思满软件科技            
 1         NotoriousKnight          微信                  
 1         Quekie                   广州市圣湘琳信息科技有限责任公司    
 1         kuu12                    深圳爱加密科技有限公司         
 1         qigithub                 火星唐斯任辽科技有限公司        
 1         venivediveci             北京青云互动科技有限公司        
 1         20gg                     杭州斯第姆               
 1         xxxwei                   杭州网易                
 1         Git2Frank                360路由10127          
 1         wohenxion                深圳市环球易购             
 1         DaFeng2016               北京思源企通集团            
 1         wulisensen               凤凰网                 
 1         ymw520369                路索亚网络               
 1         liudongsir               日本关东金现代             
 1         Nevermind1               盈超科技有限公司            
 1         DaFeng2016               思源企通集团              
 1         huangtingxuan            深圳鑫喆电子科技            
 1         Lsmaxs                   租租车                 
 1         Alanlxh                  Rela                
 1         nicle-lin                优倍快                 
 1         godjiuxutian             江苏慧物数据科技有限公司        
 1         zhaozhiming              tap4fun(tik实验室)     
 1         roryone                  重庆紫光华智              
 1         SherlockRen              一亩田（APP部门，996 美其名倒休，就是耍流氓）
 1         leesang1990                                  
 1         18435753200                                  
 1         SunnyTang                苏州凌志软件股份有限公司        
 1         ssslkj123                税友软件                
 1         plklm                    运满满                 
 1         songjiayu                网联清算                
 1         FJays                    乐道互动（完美世界子公司）       
 1         fxyc1                    inspur浪潮            
 1         jickykung                KDC - 深圳市康达兴电子有限公司  
 1         csc-EricWu               武汉威泰科技              
 1         friendlyhank             广州溜溜云科技有限公司         
 1         makelage                 华为NCE  [906,907]    
 1         lei32323                 上海理想                
 1         kalikai                  深圳朗仁科技              
 1         alonecarr                南京坦道信息科技有限公司        
 1         BetaLi                   博智林机器人              
 1         happywxs                 盘石网盟                
 1         LiangHaoXiang            广州百游科技有限公司          
 1         wumohai                  深圳奥术科技              
 1         KaneTing                 OYO(China)          
 0         zhang20084               EasyAPI             
 0         windless0530             快手                  
 0         gongdeyang195            test                
